725.594, 116.453, 2, 6
507.617, 200.061, 2, 6
474.772, 277.697, 2, 6
552.407, 304.57, 2, 6
447.898, 206.033, 2, 6
334.43, 271.725, 2, 6
421.024, 307.556, 2, 6
501.645, 71.6636, 2, 7
585.253, 62.7057, 2, 6
543.449, 173.187, 2, 6
361.304, 113.467, 2, 6
432.968, 56.7337, 2, 6
334.43, 131.383, 2, 6
438.94, 161.243, 2, 6
194.089, 247.837, 2, 6
220.963, 289.641, 2, 6
104.509, 244.851, 2, 6
179.159, 244.851, 2, 6
56.7337, 253.809, 2, 6
310.542, 92.5655, 2, 6
238.879, 161.243, 2, 6
310.542, 128.397, 2, 6
59.7197, 77.6356, 2, 6
164.229, 86.5936, 2, 6
265.753, 277.697, 3, 6
316.514, 280.683, 3, 6
289.641, 298.598, 3, 6
307.556, 289.641, 3, 6
262.767, 203.047, 3, 6
289.641, 244.851, 3, 6
313.528, 235.893, 3, 6
200.061, 77.6356, 3, 6
235.893, 74.6496, 3, 6
209.019, 86.5936, 3, 6
235.893, 98.5375, 3, 6
615.113, 194.089, 3, 6
671.846, 214.991, 3, 6
641.987, 220.963, 3, 6
674.833, 223.949, 3, 6
149.299, 280.683, 3, 6
176.173, 277.697, 3, 6
146.313, 292.626, 3, 6
179.159, 292.626, 3, 6
564.351, 203.047, 3, 6
582.267, 206.033, 3, 6
573.309, 238.879, 3, 6
600.183, 232.907, 3, 6
489.701, 140.341, 3, 6
507.617, 125.411, 3, 6
474.772, 182.145, 3, 6
522.547, 161.243, 3, 6
349.36, 217.977, 3, 6
388.178, 217.977, 3, 6
334.43, 235.893, 3, 6
373.248, 220.963, 3, 6
845.034, 119.439, 3, 6
874.893, 122.425, 3, 6
842.048, 182.145, 3, 6
868.922, 164.229, 3, 6
965.468, 320.993, 2, 5
925.655, 59.7197, 2, 6
923.167, 144.323, 2, 5
992.84, 149.299, 2, 5
761.426, 186.624, 2, 5
841.052, 226.437, 2, 5
669.358, 216.484, 2, 5
701.706, 204.042, 2, 5
614.615, 261.274, 2, 5
826.122, 111.974, 2, 5
875.889, 106.998, 2, 5
846.029, 119.439, 2, 5
666.87, 109.486, 2, 5
639.498, 124.416, 2, 5
475.269, 278.692, 2, 5
549.919, 303.575, 2, 5
447.898, 206.531, 2, 5
333.435, 273.715, 2, 5
420.526, 308.552, 2, 5
502.641, 74.6496, 2, 5
547.43, 49.7664, 2, 5
544.942, 174.182, 2, 5
385.69, 49.7664, 2, 5
462.828, 67.1846, 2, 5
408.085, 159.253, 2, 5
97.0445, 256.297, 2, 5
151.788, 248.832, 2, 5
72.1613, 258.785, 2, 5
176.671, 278.692, 2, 5
186.624, 89.5795, 2, 5
311.04, 92.0679, 2, 5
238.879, 161.741, 2, 5
308.552, 129.393, 2, 5
59.7197, 77.1379, 2, 5
161.741, 87.0912, 2, 5
161.741, 121.928, 2, 5
271.227, 213.996, 3, 5
288.645, 243.855, 3, 5
313.528, 233.902, 3, 5
266.25, 266.25, 3, 5
301.087, 281.18, 3, 5
288.645, 306.063, 3, 5
490.199, 139.346, 3, 5
507.617, 124.416, 3, 5
490.199, 151.788, 3, 5
512.594, 181.647, 3, 5
186.624, 271.227, 3, 5
231.414, 258.785, 3, 5
216.484, 318.505, 3, 5
241.367, 320.993, 3, 5
350.853, 218.972, 3, 5
375.736, 216.484, 3, 5
333.435, 236.39, 3, 5
363.295, 226.437, 3, 5
191.601, 221.461, 3, 5
238.879, 206.531, 3, 5
